indice;Date;Time;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173
1;02/10/2022;0:00:00;4975,94;14,93;845,27;2668,50;72,83;59,33
2;02/10/2022;0:01:29;4517,19;14,66;1340,15;1912,89;54,90;62,86
3;02/10/2022;0:02:59;6234,22;14,28;2542,79;1793,56;168,56;190,29
4;02/10/2022;0:04:29;5338,50;14,23;2550,75;815,33;73,09;134,89
5;02/10/2022;0:05:59;6696,50;13,95;2504,53;2435,13;479,83;33,60
6;02/10/2022;0:07:29;6842,50;13,63;2557,93;2765,70;959,67;0,00
7;02/10/2022;0:08:59;7676,61;13,07;4766,21;1663,37;1439,50;25,83
8;02/10/2022;0:10:29;8195,95;12,58;2550,65;4155,90;157,55;89,57
9;02/10/2022;0:11:59;7590,07;12,48;937,12;4973,13;69,89;87,63
10;02/10/2022;0:13:29;7772,00;12,38;928,00;5009,27;26,83;161,50
11;02/10/2022;0:14:59;8791,71;12,19;1736,80;4631,30;132,29;203,30
12;02/10/2022;0:16:29;9494,53;12,03;2578,27;5018,00;183,00;84,20
13;02/10/2022;0:17:59;9121,00;12,06;1967,73;5068,00;192,72;110,89
14;02/10/2022;0:19:29;8640,47;12,20;1407,57;5062,50;112,07;122,67
15;02/10/2022;0:20:59;10955,50;11,85;4601,00;4933,67;31,00;63,00
16;02/10/2022;0:22:29;11670,89;11,67;5081,26;5092,50;296,00;129,57
17;02/10/2022;0:23:59;9787,29;11,96;2656,47;4975,50;190,47;223,89
18;02/10/2022;0:25:29;12298,94;11,58;6224,00;4984,11;52,57;115,56
19;02/10/2022;0:26:59;12970,27;11,53;6274,13;5030,90;103,86;111,13
20;02/10/2022;0:28:29;13162,75;11,61;6325,75;5050,89;133,81;101,00
21;02/10/2022;0:29:59;13089,31;11,64;6332,82;4450,25;104,13;96,00
22;02/10/2022;0:31:29;13064,21;11,63;6321,25;5055,44;216,73;91,44
23;02/10/2022;0:32:59;12401,78;11,77;6352,60;4161,00;222,58;119,56
24;02/10/2022;0:34:29;11280,44;11,98;5624,71;3616,90;169,17;210,63
