indice;Time;Date ;FQI161;PIR161;FQI165;FQI169;FQI177;FQI173;FQI151
921;12/10/2022;22:59:59;11824,13;11,78;4705,40;5076,11;90,71;98,25;1853,65
922;12/10/2022;23:01:29;10831,00;11,94;3655,42;5112,78;191,29;117,56;1753,96
923;12/10/2022;23:02:59;10898,65;11,96;4403,21;4973,67;87,27;50,43;1384,07
924;12/10/2022;23:04:29;11473,40;11,95;4563,00;5012,11;100,21;84,89;1713,19
925;12/10/2022;23:05:59;11657,40;11,95;4674,57;5027,13;164,72;190,22;1600,76
926;12/10/2022;23:07:29;9914,22;12,26;2488,63;5133,56;189,12;131,33;1971,59
927;12/10/2022;23:08:59;9636,67;12,36;2516,71;5016,67;88,00;80,75;1934,54
928;12/10/2022;23:10:29;9434,46;12,41;2168,50;5061,44;254,75;140,89;1808,88
929;12/10/2022;23:11:59;8093,71;12,67;943,57;5029,44;201,94;112,89;1805,86
930;12/10/2022;23:13:29;7701,25;12,89;573,00;5030,50;257,53;217,00;1623,22
931;12/10/2022;23:14:59;6540,47;13,19;433,31;4228,78;175,06;127,86;1575,46
932;12/10/2022;23:16:29;5985,54;13,37;866,63;3531,56;78,30;97,63;1411,43
933;12/10/2022;23:17:59;6045,50;13,25;896,00;3433,33;261,38;28,57;1426,22
934;12/10/2022;23:19:29;6030,47;13,12;844,60;3565,56;66,14;70,75;1483,42
935;12/10/2022;23:20:59;6764,29;12,93;1422,06;3556,22;132,29;177,00;1476,72
936;12/10/2022;23:22:29;6492,00;12,84;2604,83;2213,22;124,71;97,33;1451,91
937;12/10/2022;23:23:59;5247,60;13,04;2539,75;730,56;120,62;101,88;1754,80
938;12/10/2022;23:25:29;4843,57;13,23;2566,53;157,80;231,06;110,00;1778,18
939;12/10/2022;23:26:59;5316,19;13,29;3053,11;433,78;87,82;70,00;1671,48
940;12/10/2022;23:28:29;5905,18;13,21;4016,56;5,44;101,92;172,38;1608,88
941;12/10/2022;23:29:59;6403,24;13,05;5578,60;10,88;179,29;159,00;475,47
942;12/10/2022;23:31:29;3629,87;13,57;982,67;16,32;201,67;144,88;2284,33
943;12/10/2022;23:32:59;3407,92;13,88;993,21;21,76;275,60;136,22;1981,12
944;12/10/2022;23:34:29;3515,29;14,23;1014,54;27,21;178,24;186,11;2109,19
945;12/10/2022;23:35:59;3405,87;14,56;1018,09;32,65;162,33;200,67;1992,13
946;12/10/2022;23:37:29;3343,29;14,78;1000,46;38,09;276,00;210,90;1817,84
947;12/10/2022;23:38:59;3262,50;15,05;1018,50;43,53;199,53;121,11;1879,83
948;12/10/2022;23:40:29;2646,59;15,04;967,38;48,97;142,93;54,29;1433,01
949;12/10/2022;23:41:59;3161,53;15,11;1014,85;54,41;177,67;150,00;1764,61
950;12/10/2022;23:43:29;2801,87;15,18;981,92;59,85;96,83;137,13;1526,13
951;12/10/2022;23:44:59;3027,87;15,19;999,38;65,29;233,88;100,80;1628,51
952;12/10/2022;23:46:29;2825,24;15,31;997,88;70,74;114,40;83,25;1558,97
953;12/10/2022;23:47:59;2737,27;15,18;992,62;76,18;185,78;96,60;1386,10
954;12/10/2022;23:49:29;3848,56;15,41;1516,80;81,62;278,35;176,33;1795,45
955;12/10/2022;23:50:59;1902,88;15,09;913,18;87,06;25,00;104,17;773,47
956;12/10/2022;23:52:29;3922,11;15,39;1082,63;92,50;313,28;150,20;2283,50
957;12/10/2022;23:53:59;3646,81;15,39;972,27;1150,78;91,25;48,60;1383,92
958;12/10/2022;23:55:29;5520,50;14,77;2226,82;2517,00;91,25;62,33;623,09
959;12/10/2022;23:56:59;8474,17;13,84;5735,53;2435,67;91,25;124,67;87,05
960;12/10/2022;23:58:29;8958,39;13,15;6316,75;1671,00;91,25;48,71;830,68
