indice,Date,Time,QLF5,PLF5
107,9/14/2023,14 09 2023 01:46:00,78.00,15.50
108,9/14/2023,14 09 2023 01:47:00,78.00,15.40
109,9/14/2023,14 09 2023 01:48:00,78.00,15.40
110,9/14/2023,14 09 2023 01:49:00,79.00,15.40
111,9/14/2023,14 09 2023 01:50:00,78.00,15.40
112,9/14/2023,14 09 2023 01:51:00,115.00,15.30
113,9/14/2023,14 09 2023 01:52:00,118.00,15.40
114,9/14/2023,14 09 2023 01:53:00,0.00,15.40
115,9/14/2023,14 09 2023 01:54:00,0.00,15.50
116,9/14/2023,14 09 2023 01:55:00,0.00,15.50
117,9/14/2023,14 09 2023 01:56:00,0.00,15.50
118,9/14/2023,14 09 2023 01:57:00,0.00,15.50
119,9/14/2023,14 09 2023 01:58:00,0.00,15.50
120,9/14/2023,14 09 2023 01:59:00,0.00,15.60
121,9/14/2023,14 09 2023 02:00:00,0.00,15.60
122,9/14/2023,14 09 2023 02:01:00,0.00,15.70
123,9/14/2023,14 09 2023 02:02:00,0.00,15.60
124,9/14/2023,14 09 2023 02:03:00,0.00,15.60
125,9/14/2023,14 09 2023 02:04:00,0.00,15.60
126,9/14/2023,14 09 2023 02:05:00,0.00,15.70
127,9/14/2023,14 09 2023 02:06:00,0.00,15.70
128,9/14/2023,14 09 2023 02:07:00,0.00,15.70
129,9/14/2023,14 09 2023 02:08:00,0.00,15.70
130,9/14/2023,14 09 2023 02:09:00,0.00,15.60
131,9/14/2023,14 09 2023 02:10:00,0.00,14.10
132,9/14/2023,14 09 2023 02:11:00,0.00,15.80
133,9/14/2023,14 09 2023 02:12:00,0.00,15.90
134,9/14/2023,14 09 2023 02:13:00,0.00,15.80
135,9/14/2023,14 09 2023 02:14:00,0.00,15.80
136,9/14/2023,14 09 2023 02:15:00,0.00,15.80
137,9/14/2023,14 09 2023 02:16:00,0.00,15.80
138,9/14/2023,14 09 2023 02:17:00,1.00,15.80
139,9/14/2023,14 09 2023 02:18:00,2.00,15.80
140,9/14/2023,14 09 2023 02:19:00,500.00,15.70
141,9/14/2023,14 09 2023 02:20:00,296.00,15.70
142,9/14/2023,14 09 2023 02:21:00,158.00,15.80
143,9/14/2023,14 09 2023 02:22:00,158.00,15.80
144,9/14/2023,14 09 2023 02:23:00,158.00,15.80
145,9/14/2023,14 09 2023 02:24:00,158.00,15.70
146,9/14/2023,14 09 2023 02:25:00,158.00,15.70
147,9/14/2023,14 09 2023 02:26:00,158.00,15.80
148,9/14/2023,14 09 2023 02:27:00,158.00,15.80
149,9/14/2023,14 09 2023 02:28:00,158.00,15.70
150,9/14/2023,14 09 2023 02:29:00,158.00,15.80
151,9/14/2023,14 09 2023 02:30:00,198.00,15.70
152,9/14/2023,14 09 2023 02:31:00,199.00,15.20
153,9/14/2023,14 09 2023 02:32:00,198.00,14.90
154,9/14/2023,14 09 2023 02:33:00,78.00,15.60
155,9/14/2023,14 09 2023 02:34:00,118.00,15.60
156,9/14/2023,14 09 2023 02:35:00,118.00,15.80
157,9/14/2023,14 09 2023 02:36:00,116.00,15.70
158,9/14/2023,14 09 2023 02:37:00,118.00,15.60
159,9/14/2023,14 09 2023 02:38:00,0.00,15.60
160,9/14/2023,14 09 2023 02:39:00,0.00,15.60
161,9/14/2023,14 09 2023 02:40:00,0.00,15.50
162,9/14/2023,14 09 2023 02:41:00,0.00,15.50
163,9/14/2023,14 09 2023 02:42:00,0.00,15.50
