Time:[flowmeter],CH1:[l/min]
16:03:28,53.668
16:03:29,55.11
16:03:30,55.757
16:03:31,55.539
16:03:32,55.397
16:03:33,56.287
16:03:34,56.012
16:03:35,55.767
16:03:36,55.512
16:03:37,56.433
16:03:38,56.139
16:03:39,55.512
16:03:40,56.579
16:03:41,57.084
16:03:42,56.373
16:03:43,56.868
16:03:44,57.043
16:03:45,56.988
16:03:46,56.877
16:03:47,57.573
16:03:48,57.491
16:03:49,57.169
16:03:50,57.711
16:03:51,57.799
16:03:52,58.219
16:03:53,58.152
16:03:54,58.046
16:03:55,58.028
16:03:56,58.147
16:03:57,57.171
16:03:58,56.912
16:03:59,57.31
16:04:00,57.033
16:04:01,57.117
16:04:02,57.088
16:04:03,57.265
16:04:04,57.345
16:04:05,56.372
16:04:06,56.119
16:04:07,55.903
16:04:08,57.056
16:04:09,57.628
16:04:10,58.02
16:04:11,57.804
16:04:12,57.433
16:04:13,57.886
16:04:14,58.897
16:04:15,58.151
16:04:16,57.597
16:04:17,57.359
16:04:18,57.47
16:04:19,58.046
16:04:20,57.2
16:04:21,57.145
16:04:22,57.126
16:04:23,57.249
16:04:24,57.406
16:04:25,56.474
16:04:26,57.103
16:04:27,56.113
16:04:28,56.687
16:04:29,56.365
16:04:30,56.787
16:04:31,56.963
16:04:32,57.736
16:04:33,57.172
16:04:34,56.672
16:04:35,55.792
16:04:36,55.866
16:04:37,55.998
16:04:38,55.647
16:04:39,55.93
16:04:40,55.367
16:04:41,55.654
16:04:42,55.852
16:04:43,56.462
16:04:44,56.97
16:04:45,56.885
16:04:46,56.182
16:04:47,56.068
16:04:48,56.031
16:04:49,55.877
16:04:50,56.251
16:04:51,56.189
16:04:52,56.41
16:04:53,56.921
16:04:54,56.654
16:04:55,56.874
16:04:56,56.36
16:04:57,56.873
16:04:58,56.867
16:04:59,57.119
16:05:00,56.383
16:05:01,56.523
16:05:02,56.377
16:05:03,56.343
16:05:04,55.757
16:05:05,55.288
16:05:06,55.132
16:05:07,55.718
16:05:08,55.934
16:05:09,55.254
16:05:10,54.46
16:05:11,54.69
16:05:12,54.991
16:05:13,55.56
16:05:14,55.615
16:05:15,56.245
16:05:16,55.927
16:05:17,55.781
16:05:18,55.307
16:05:19,55.055
16:05:20,56.332
16:05:21,55.555
16:05:22,56.263
16:05:23,56.234
16:05:24,55.954
16:05:25,55.981
16:05:26,56.037
16:05:27,55.866
16:05:28,56.061
16:05:29,56.6
16:05:30,56.681
16:05:31,56.767
16:05:32,56.289
16:05:33,56.281
16:05:34,56.077
16:05:35,56.29
16:05:36,55.7
16:05:37,55.929
16:05:38,55.081
16:05:39,55.404
16:05:40,54.847
16:05:41,55.296
16:05:42,55.661
16:05:43,55.964
16:05:44,55.84
16:05:45,56.294
16:05:46,56.482
16:05:47,56.421
16:05:48,56.54
16:05:49,56.657
16:05:50,57.131
16:05:51,57.336
16:05:52,57.114
16:05:53,56.752
16:05:54,57.038
16:05:55,56.679
16:05:56,56.56
16:05:57,56.998
16:05:58,56.843
16:05:59,56.497
16:06:00,56.457
16:06:01,55.857
16:06:02,56.5
16:06:03,56.263
16:06:04,56.376
16:06:05,57.47
16:06:06,57.417
16:06:07,56.801
16:06:08,54.728
16:06:09,55.157
16:06:10,54.402
16:06:11,54.965
16:06:12,55.395
16:06:13,55.191
16:06:14,54.737
16:06:15,55.779
16:06:16,55.88
16:06:17,56.903
16:06:18,57.28
16:06:19,56.355
16:06:20,56.703
16:06:21,55.694
16:06:22,55.447
16:06:23,55.415
16:06:24,55.038
16:06:25,55.982
16:06:26,56.244
16:06:27,55.177
16:06:28,55.415
16:06:29,54.85
16:06:30,55.269
16:06:31,54.998
16:06:32,55.239
16:06:33,56.567
16:06:34,56.314
16:06:35,55.563
16:06:36,55.475
16:06:37,56.376
16:06:38,56.716
16:06:39,56.251
16:06:40,56.384
16:06:41,56.172
16:06:42,56.651
16:06:43,56.573
16:06:44,56.066
16:06:45,55.165
16:06:46,55.385
16:06:47,55.335
16:06:48,55.718
16:06:49,55.687
16:06:50,56.186
16:06:51,55.682
16:06:52,55.597
16:06:53,55.574
16:06:54,55.992
16:06:55,55.81
16:06:56,55.901
16:06:57,56.16
16:06:58,56.378
16:06:59,56.37
16:07:00,56.441
16:07:01,56.945
16:07:02,56.628
16:07:03,57.298
16:07:04,57.1
16:07:05,57.404
16:07:06,56.84
16:07:07,56.18
16:07:08,56.1
16:07:09,55.579
16:07:10,56.225
16:07:11,55.869
16:07:12,55.98
16:07:13,56.048
16:07:14,56.085
16:07:15,56.495
16:07:16,56.273
16:07:17,57.486
16:07:18,56.336
16:07:19,56.344
16:07:20,57.206
16:07:21,56.655
16:07:22,56.576
16:07:23,56.893
16:07:24,56.063
16:07:25,55.751
16:07:26,56.055
16:07:27,56.123
16:07:28,55.646
16:07:29,55.778
16:07:30,55.509
16:07:31,56.056
16:07:32,55.922
16:07:33,55.814
16:07:34,54.861
16:07:35,54.808
16:07:36,56.029
16:07:37,55.908
16:07:38,55.619
16:07:39,56.491
16:07:40,56.456
16:07:41,55.881
16:07:42,55.741
16:07:43,55.803
16:07:44,55.901
16:07:45,55.437
16:07:46,55.353
16:07:47,55.738
16:07:48,55.87
16:07:49,55.802
16:07:50,56.082
16:07:51,55.425
16:07:52,55.965
16:07:53,56.586
16:07:54,56.356
16:07:55,56.162
16:07:56,56.746
16:07:57,56.485
16:07:58,56.836
16:07:59,56.659
16:08:00,56.228
16:08:01,55.528
16:08:02,55.686
16:08:03,55.76
16:08:04,55.955
16:08:05,56.573
16:08:06,57.07
16:08:07,56.92
16:08:08,56.442
16:08:09,56.446
