TIEMPO;FT748;FT903;FT901;TOTAL ENTRADA;REPOSICION;FT764;FT904;TOTAL RETORNO;TORRE_PILETA;TEMP_RETORNO
12 02 2023 08:43:00;4.600.000;3.000.000;3.800.000;11.400;309;7.090.000;4.610.000;11.700;37,1;41,7
12 02 2023 08:44:00;4.560.000;2.950.000;3.870.000;11.380;268;7.140.000;4.580.000;11.720;37,3;41,6
12 02 2023 08:45:00;4.590.000;2.930.000;3.820.000;11.340;295;6.970.000;4.670.000;11.640;37,6;41,5
12 02 2023 08:46:00;4.630.000;3.010.000;3.780.000;11.420;270;7.140.000;4.730.000;11.870;36,8;41,3
12 02 2023 08:47:00;4.650.000;2.960.000;3.820.000;11.430;239;7.120.000;4.610.000;11.730;36,5;41,0
12 02 2023 08:48:00;4.560.000;2.810.000;3.880.000;11.250;244;6.990.000;4.590.000;11.580;36,6;40,8
12 02 2023 08:49:00;4.620.000;2.920.000;3.790.000;11.330;246;7.070.000;4.690.000;11.760;35,8;40,7
12 02 2023 08:50:00;4.590.000;2.880.000;3.880.000;11.350;250;6.980.000;4.670.000;11.650;36,1;40,7
12 02 2023 08:51:00;4.590.000;2.950.000;3.870.000;11.410;258;7.080.000;4.690.000;11.770;35,3;40,6
12 02 2023 08:52:00;4.550.000;2.970.000;3.810.000;11.330;312;7.060.000;4.650.000;11.710;35,8;40,4
12 02 2023 08:53:00;4.660.000;2.890.000;3.820.000;11.370;275;7.100.000;4.600.000;11.700;35,8;40,2
12 02 2023 08:54:00;4.610.000;2.910.000;3.890.000;11.410;282;7.050.000;4.630.000;11.680;35,9;40,1
12 02 2023 08:55:00;4.580.000;3.000.000;3.870.000;11.450;242;6.980.000;4.520.000;11.500;35,6;40,0
12 02 2023 08:56:00;4.530.000;2.980.000;3.810.000;11.320;250;6.980.000;4.740.000;11.720;34,9;40,0
12 02 2023 08:57:00;4.590.000;3.030.000;3.870.000;11.490;248;7.060.000;4.610.000;11.670;35,6;40,1
12 02 2023 08:58:00;4.460.000;2.910.000;3.850.000;11.220;282;7.080.000;4.700.000;11.780;35,7;40,1
12 02 2023 08:59:00;4.550.000;2.960.000;3.870.000;11.380;275;6.930.000;4.620.000;11.550;35,3;40,0
12 02 2023 09:00:00;4.620.000;2.980.000;3.850.000;11.450;313;6.980.000;4.640.000;11.620;35,9;39,8
12 02 2023 09:01:00;4.620.000;2.850.000;3.910.000;11.380;237;7.080.000;4.600.000;11.680;35,2;39,7
12 02 2023 09:02:00;4.570.000;2.900.000;3.880.000;11.350;234;7.010.000;4.670.000;11.680;35,4;39,6
12 02 2023 09:03:00;4.580.000;2.820.000;3.790.000;11.190;272;6.970.000;4.730.000;11.700;35,2;39,6
12 02 2023 09:04:00;4.570.000;3.010.000;3.870.000;11.450;286;7.030.000;4.670.000;11.700;34,9;39,7
12 02 2023 09:05:00;4.540.000;2.960.000;3.900.000;11.400;260;7.020.000;4.660.000;11.680;35,4;40,0
12 02 2023 09:06:00;4.590.000;2.990.000;3.900.000;11.480;335;7.020.000;4.600.000;11.620;36,1;40,5
12 02 2023 09:07:00;4.650.000;2.830.000;3.860.000;11.340;304;6.990.000;4.570.000;11.560;36,4;41,0
12 02 2023 09:08:00;4.610.000;2.970.000;3.890.000;11.470;262;7.050.000;4.630.000;11.680;37,4;41,5
12 02 2023 09:09:00;4.560.000;2.890.000;3.870.000;11.320;239;7.020.000;4.700.000;11.720;37,1;41,8
12 02 2023 09:10:00;4.680.000;2.860.000;3.920.000;11.460;211;7.150.000;4.620.000;11.770;37,4;42,0
12 02 2023 09:11:00;4.610.000;3.010.000;3.890.000;11.510;283;7.080.000;4.590.000;11.670;38,0;42,1
12 02 2023 09:12:00;4.510.000;2.810.000;3.880.000;11.200;199;7.010.000;4.650.000;11.660;37,7;42,0
12 02 2023 09:13:00;4.570.000;2.980.000;3.910.000;11.460;197;7.020.000;4.640.000;11.660;37,5;42,0
12 02 2023 09:14:00;4.560.000;2.990.000;3.850.000;11.400;198;7.040.000;4.700.000;11.740;37,4;41,9
12 02 2023 09:15:00;4.570.000;2.920.000;3.900.000;11.390;280;7.040.000;4.510.000;11.550;37,0;41,7
12 02 2023 09:16:00;4.590.000;2.940.000;3.930.000;11.460;273;7.140.000;4.640.000;11.780;37,7;41,4
12 02 2023 09:17:00;4.600.000;2.940.000;3.840.000;11.380;255;6.990.000;4.560.000;11.550;36,6;41,3
12 02 2023 09:18:00;4.630.000;2.980.000;3.870.000;11.480;267;6.940.000;4.630.000;11.570;36,4;41,3
12 02 2023 09:19:00;4.530.000;2.950.000;3.850.000;11.330;327;7.030.000;4.610.000;11.640;36,6;41,5
12 02 2023 09:20:00;4.560.000;2.970.000;3.790.000;11.320;277;7.130.000;4.700.000;11.830;36,9;41,6
12 02 2023 09:21:00;4.550.000;2.910.000;3.830.000;11.290;272;7.010.000;4.560.000;11.570;37,1;41,8
12 02 2023 09:22:00;4.590.000;2.980.000;3.810.000;11.380;267;6.930.000;4.570.000;11.500;37,1;42,0
12 02 2023 09:23:00;4.560.000;2.960.000;3.910.000;11.430;299;6.940.000;4.720.000;11.660;37,8;42,1
12 02 2023 09:24:00;4.560.000;3.010.000;3.830.000;11.400;274;7.010.000;4.680.000;11.690;37,1;42,2
12 02 2023 09:25:00;4.630.000;2.890.000;3.840.000;11.360;203;7.170.000;4.630.000;11.800;37,4;42,4
12 02 2023 09:26:00;4.600.000;2.870.000;3.760.000;11.230;217;6.970.000;4.570.000;11.540;37,8;42,6
12 02 2023 09:27:00;4.600.000;2.940.000;3.870.000;11.410;241;7.030.000;4.670.000;11.700;37,9;42,8
12 02 2023 09:28:00;4.590.000;2.940.000;3.840.000;11.370;282;6.940.000;4.600.000;11.540;39,4;42,8
12 02 2023 09:29:00;4.560.000;3.050.000;3.940.000;11.550;276;6.950.000;4.640.000;11.590;38,1;42,9
12 02 2023 09:30:00;4.600.000;2.980.000;3.790.000;11.370;271;6.960.000;4.620.000;11.580;38,3;43,0
12 02 2023 09:31:00;4.570.000;2.980.000;3.900.000;11.450;270;6.980.000;4.710.000;11.690;38,6;43,2
12 02 2023 09:32:00;4.530.000;2.910.000;3.880.000;11.320;336;7.100.000;4.670.000;11.770;38,3;43,3
12 02 2023 09:33:00;4.560.000;2.930.000;3.850.000;11.340;350;6.950.000;4.600.000;11.550;39,1;43,3
12 02 2023 09:34:00;4.560.000;2.920.000;3.950.000;11.430;306;7.090.000;4.720.000;11.810;38,5;43,0
12 02 2023 09:35:00;4.590.000;3.060.000;3.910.000;11.560;266;7.010.000;4.730.000;11.740;38,3;42,6
12 02 2023 09:36:00;4.580.000;2.910.000;3.940.000;11.430;245;6.970.000;4.590.000;11.560;37,8;42,2
12 02 2023 09:37:00;4.550.000;2.910.000;3.870.000;11.330;291;7.010.000;4.680.000;11.690;37,2;41,9
12 02 2023 09:38:00;4.570.000;2.970.000;3.830.000;11.370;259;7.040.000;4.620.000;11.660;37,8;41,6
12 02 2023 09:39:00;4.540.000;2.920.000;3.930.000;11.390;270;7.040.000;4.610.000;11.650;36,4;41,3
12 02 2023 09:40:00;4.590.000;2.990.000;3.820.000;11.400;270;7.080.000;4.610.000;11.690;36,7;41,1
12 02 2023 09:41:00;4.570.000;2.960.000;3.920.000;11.450;300;7.120.000;4.680.000;11.800;36,4;40,9
12 02 2023 09:42:00;4.640.000;2.920.000;3.830.000;11.390;267;7.000.000;4.580.000;11.580;36,1;40,7
12 02 2023 09:43:00;4.680.000;2.950.000;3.900.000;11.530;276;7.130.000;4.650.000;11.780;35,9;40,7
12 02 2023 09:44:00;4.530.000;2.940.000;3.830.000;11.300;222;7.070.000;4.620.000;11.690;35,9;40,8
12 02 2023 09:45:00;4.630.000;2.930.000;3.890.000;11.450;259;7.100.000;4.560.000;11.660;36,3;40,9
12 02 2023 09:46:00;4.540.000;2.910.000;3.890.000;11.340;290;7.030.000;4.620.000;11.650;36,7;41,1
12 02 2023 09:47:00;4.590.000;2.880.000;3.840.000;11.310;334;7.080.000;4.720.000;11.800;36,7;41,3
12 02 2023 09:48:00;4.640.000;2.920.000;3.840.000;11.400;249;7.090.000;4.730.000;11.820;36,7;41,4
12 02 2023 09:49:00;4.630.000;3.000.000;3.900.000;11.530;275;7.030.000;4.510.000;11.540;36,7;41,7
12 02 2023 09:50:00;4.600.000;2.980.000;3.770.000;11.350;266;7.020.000;4.650.000;11.670;37,4;42,0
12 02 2023 09:51:00;4.600.000;2.960.000;3.830.000;11.390;230;7.060.000;4.670.000;11.730;37,4;42,4
12 02 2023 09:52:00;4.600.000;2.820.000;3.780.000;11.200;317;7.130.000;4.560.000;11.690;37,9;42,6
12 02 2023 09:53:00;4.560.000;3.010.000;3.880.000;11.450;271;7.050.000;4.640.000;11.690;38,5;42,4
12 02 2023 09:54:00;4.510.000;3.020.000;3.850.000;11.380;243;7.040.000;4.690.000;11.730;38,3;41,9
12 02 2023 09:55:00;4.510.000;2.950.000;3.830.000;11.290;264;7.000.000;4.620.000;11.620;36,7;41,3
12 02 2023 09:56:00;4.540.000;2.910.000;3.880.000;11.330;251;7.110.000;4.610.000;11.720;36,1;40,9
12 02 2023 09:57:00;4.570.000;2.860.000;3.880.000;11.310;259;6.890.000;4.540.000;11.430;36,0;40,7
12 02 2023 09:58:00;4.630.000;2.920.000;3.870.000;11.420;301;7.030.000;4.660.000;11.690;36,5;40,7
12 02 2023 09:59:00;4.600.000;2.970.000;3.870.000;11.440;286;7.110.000;4.630.000;11.740;36,0;40,9
12 02 2023 10:00:00;4.570.000;2.810.000;3.860.000;11.240;283;7.080.000;4.690.000;11.770;36,2;41,1
12 02 2023 10:01:00;4.630.000;2.970.000;3.800.000;11.400;269;6.990.000;4.690.000;11.680;36,7;41,4
12 02 2023 10:02:00;4.610.000;2.780.000;3.850.000;11.240;219;7.020.000;4.610.000;11.630;37,3;41,9
12 02 2023 10:03:00;4.550.000;2.990.000;3.840.000;11.380;235;7.000.000;4.650.000;11.650;37,6;42,3
12 02 2023 10:04:00;4.660.000;2.960.000;3.840.000;11.460;229;7.070.000;4.610.000;11.680;38,4;42,8
12 02 2023 10:05:00;4.540.000;2.920.000;3.890.000;11.350;283;6.930.000;4.630.000;11.560;38,3;43,2
12 02 2023 10:06:00;4.600.000;2.930.000;3.850.000;11.380;295;7.030.000;4.580.000;11.610;38,9;43,5
12 02 2023 10:07:00;4.560.000;3.010.000;3.870.000;11.440;264;7.020.000;4.700.000;11.720;38,9;43,6
12 02 2023 10:08:00;4.560.000;2.920.000;3.800.000;11.280;249;6.960.000;4.550.000;11.510;38,9;43,6
12 02 2023 10:09:00;4.550.000;2.960.000;3.860.000;11.370;299;7.030.000;4.650.000;11.680;38,9;43,5
12 02 2023 10:10:00;4.590.000;3.010.000;3.890.000;11.490;304;7.070.000;4.620.000;11.690;38,9;43,4
12 02 2023 10:11:00;4.630.000;2.950.000;3.870.000;11.450;319;7.190.000;4.530.000;11.720;38,8;43,3
12 02 2023 10:12:00;4.580.000;2.760.000;3.810.000;11.150;263;7.020.000;4.710.000;11.730;38,4;43,1
12 02 2023 10:13:00;4.560.000;2.940.000;3.860.000;11.360;257;7.090.000;4.700.000;11.790;38,9;43,1
12 02 2023 10:14:00;4.610.000;2.950.000;3.890.000;11.450;284;7.000.000;4.760.000;11.760;38,3;43,0
12 02 2023 10:15:00;4.580.000;2.900.000;3.880.000;11.360;285;7.000.000;4.650.000;11.650;38,3;43,0
12 02 2023 10:16:00;4.660.000;3.030.000;3.890.000;11.580;253;7.130.000;4.550.000;11.680;38,3;43,1
12 02 2023 10:17:00;4.600.000;2.840.000;3.780.000;11.220;291;6.970.000;4.570.000;11.540;38,3;43,2
12 02 2023 10:18:00;4.580.000;3.010.000;3.870.000;11.460;300;7.030.000;4.650.000;11.680;39,3;43,2
12 02 2023 10:19:00;4.610.000;2.960.000;3.900.000;11.470;247;7.150.000;4.610.000;11.760;38,4;43,3
12 02 2023 10:20:00;4.570.000;2.950.000;3.810.000;11.330;272;7.020.000;4.630.000;11.650;38,3;43,4
12 02 2023 10:21:00;4.560.000;2.920.000;3.880.000;11.360;279;7.100.000;4.650.000;11.750;38,9;43,5
12 02 2023 10:22:00;4.590.000;3.010.000;3.880.000;11.480;284;6.990.000;4.590.000;11.580;39,2;43,5
12 02 2023 10:23:00;4.530.000;2.980.000;3.850.000;11.360;283;7.080.000;4.650.000;11.730;38,8;43,5
12 02 2023 10:24:00;4.540.000;2.870.000;3.840.000;11.250;273;7.060.000;4.690.000;11.750;38,5;43,5
12 02 2023 10:25:00;4.580.000;2.950.000;3.790.000;11.320;312;7.070.000;4.670.000;11.740;38,9;43,4
12 02 2023 10:26:00;4.470.000;2.960.000;3.870.000;11.300;302;7.030.000;4.590.000;11.620;38,7;43,2
12 02 2023 10:27:00;4.550.000;2.890.000;3.860.000;11.300;242;7.030.000;4.700.000;11.730;38,3;43,1
12 02 2023 10:28:00;4.650.000;3.010.000;3.850.000;11.510;245;6.960.000;4.700.000;11.660;38,3;42,9
12 02 2023 10:29:00;4.520.000;2.980.000;3.890.000;11.390;246;7.010.000;4.760.000;11.770;38,2;42,6
12 02 2023 10:30:00;4.510.000;2.980.000;3.750.000;11.240;257;6.990.000;4.690.000;11.680;38,2;42,4
12 02 2023 10:31:00;4.600.000;2.950.000;3.870.000;11.420;259;7.030.000;4.610.000;11.640;37,5;42,0
12 02 2023 10:32:00;4.540.000;2.960.000;3.880.000;11.380;288;7.020.000;4.680.000;11.700;37,2;41,7
12 02 2023 10:33:00;4.610.000;2.820.000;3.760.000;11.190;276;7.100.000;4.640.000;11.740;37,2;41,6
12 02 2023 10:34:00;4.560.000;3.010.000;3.830.000;11.400;266;6.980.000;4.650.000;11.630;36,8;41,5
12 02 2023 10:35:00;4.610.000;2.960.000;3.830.000;11.400;319;7.090.000;4.650.000;11.740;37,3;41,7
12 02 2023 10:36:00;4.600.000;2.890.000;3.940.000;11.430;288;7.050.000;4.600.000;11.650;37,4;41,8
12 02 2023 10:37:00;4.610.000;2.950.000;3.870.000;11.430;265;7.020.000;4.580.000;11.600;37,2;42,0
12 02 2023 10:38:00;4.530.000;2.980.000;3.820.000;11.330;275;6.990.000;4.660.000;11.650;37,7;42,2
12 02 2023 10:39:00;4.590.000;2.960.000;3.830.000;11.380;244;7.050.000;4.550.000;11.600;37,8;42,4
12 02 2023 10:40:00;4.590.000;2.910.000;3.850.000;11.350;231;6.980.000;4.620.000;11.600;38,1;42,7
12 02 2023 10:41:00;4.580.000;2.960.000;3.890.000;11.430;260;7.130.000;4.640.000;11.770;38,6;43,1
12 02 2023 10:42:00;4.550.000;2.920.000;3.880.000;11.350;274;7.040.000;4.690.000;11.730;38,4;43,3
12 02 2023 10:43:00;4.610.000;2.980.000;3.860.000;11.450;322;7.020.000;4.630.000;11.650;39,1;43,3
12 02 2023 10:44:00;4.570.000;2.920.000;3.870.000;11.360;310;6.940.000;4.560.000;11.500;38,6;43,0
12 02 2023 10:45:00;4.650.000;2.950.000;3.810.000;11.410;291;7.070.000;4.650.000;11.720;38,4;42,5
12 02 2023 10:46:00;4.540.000;2.990.000;3.880.000;11.410;273;7.070.000;4.690.000;11.760;38,1;42,3
12 02 2023 10:47:00;4.620.000;2.900.000;3.840.000;11.360;285;7.170.000;4.600.000;11.770;37,2;42,3
12 02 2023 10:48:00;4.570.000;2.970.000;3.920.000;11.460;290;7.090.000;4.720.000;11.810;37,8;42,6
12 02 2023 10:49:00;4.560.000;2.880.000;3.870.000;11.310;224;7.080.000;4.610.000;11.690;38,3;42,9
12 02 2023 10:50:00;4.550.000;2.960.000;3.780.000;11.290;288;7.020.000;4.710.000;11.730;38,5;43,1
12 02 2023 10:51:00;4.640.000;2.850.000;3.830.000;11.320;281;7.070.000;4.670.000;11.740;38,6;43,1
12 02 2023 10:52:00;4.490.000;2.870.000;3.890.000;11.250;249;7.060.000;4.630.000;11.690;38,9;43,2
12 02 2023 10:53:00;4.550.000;2.960.000;3.900.000;11.410;258;6.960.000;4.710.000;11.670;38,9;43,3
12 02 2023 10:54:00;4.560.000;2.860.000;3.940.000;11.360;242;6.990.000;4.650.000;11.640;38,4;43,4
12 02 2023 10:55:00;4.570.000;2.950.000;3.830.000;11.350;298;6.980.000;4.650.000;11.630;39,0;43,6
12 02 2023 10:56:00;4.600.000;2.970.000;3.830.000;11.400;305;6.990.000;4.590.000;11.580;39,4;43,8
12 02 2023 10:57:00;4.570.000;2.970.000;3.880.000;11.420;303;6.990.000;4.650.000;11.640;39,3;44,0
12 02 2023 10:58:00;4.610.000;2.820.000;3.850.000;11.280;282;7.090.000;4.650.000;11.740;39,3;44,0
12 02 2023 10:59:00;4.510.000;2.900.000;3.760.000;11.170;282;7.030.000;4.730.000;11.760;39,5;43,9
12 02 2023 11:00:00;4.580.000;2.870.000;3.750.000;11.200;259;7.100.000;4.670.000;11.770;38,8;43,9
12 02 2023 11:01:00;4.560.000;2.790.000;3.820.000;11.170;250;7.010.000;4.700.000;11.710;40,1;44,1
12 02 2023 11:02:00;4.580.000;2.870.000;3.820.000;11.270;221;7.100.000;4.620.000;11.720;39,3;44,2
12 02 2023 11:03:00;4.490.000;2.910.000;3.910.000;11.310;258;7.120.000;4.680.000;11.800;39,7;44,2
12 02 2023 11:04:00;4.530.000;2.810.000;3.780.000;11.120;277;7.060.000;4.550.000;11.610;39,8;44,2
12 02 2023 11:05:00;4.610.000;2.850.000;3.780.000;11.240;255;7.000.000;4.620.000;11.620;39,4;44,2
12 02 2023 11:06:00;4.610.000;2.970.000;3.960.000;11.540;285;7.060.000;4.630.000;11.690;40,3;44,2
12 02 2023 11:07:00;4.580.000;2.850.000;3.950.000;11.380;310;7.050.000;4.700.000;11.750;39,5;44,0
12 02 2023 11:08:00;4.510.000;2.940.000;3.790.000;11.240;312;7.030.000;4.460.000;11.490;39,5;43,8
12 02 2023 11:09:00;4.560.000;2.960.000;3.810.000;11.330;314;7.030.000;4.550.000;11.580;38,7;43,7
12 02 2023 11:10:00;4.550.000;2.980.000;3.840.000;11.370;301;7.070.000;4.710.000;11.780;39,0;43,6
12 02 2023 11:11:00;4.620.000;2.870.000;3.860.000;11.350;281;7.000.000;4.650.000;11.650;39,1;43,5
12 02 2023 11:12:00;4.560.000;2.840.000;3.810.000;11.210;299;7.080.000;4.590.000;11.670;38,5;43,4
12 02 2023 11:13:00;4.580.000;2.940.000;3.810.000;11.330;225;6.950.000;4.650.000;11.600;38,7;43,4
12 02 2023 11:14:00;4.630.000;2.960.000;3.840.000;11.430;225;7.060.000;4.710.000;11.770;38,9;43,4
12 02 2023 11:15:00;4.580.000;2.960.000;3.790.000;11.330;247;7.100.000;4.560.000;11.660;38,8;43,4
12 02 2023 11:16:00;4.560.000;2.860.000;3.870.000;11.290;257;7.030.000;4.570.000;11.600;38,9;43,4
12 02 2023 11:17:00;4.580.000;2.720.000;3.830.000;11.130;306;6.990.000;4.550.000;11.540;38,7;43,5
12 02 2023 11:18:00;4.550.000;2.750.000;3.830.000;11.130;285;7.140.000;4.660.000;11.800;38,5;43,5
12 02 2023 11:19:00;4.590.000;2.830.000;3.890.000;11.310;264;7.160.000;4.650.000;11.810;38,6;43,4
12 02 2023 11:20:00;4.550.000;2.760.000;3.820.000;11.130;259;6.940.000;4.680.000;11.620;38,8;43,3
12 02 2023 11:21:00;4.590.000;2.910.000;3.840.000;11.340;278;7.040.000;4.630.000;11.670;38,6;43,2
12 02 2023 11:22:00;4.650.000;2.750.000;3.810.000;11.210;253;7.090.000;4.680.000;11.770;38,6;43,1
12 02 2023 11:23:00;4.570.000;2.980.000;3.830.000;11.380;321;7.030.000;4.650.000;11.680;38,3;43,1
12 02 2023 11:24:00;4.580.000;2.950.000;3.770.000;11.300;314;6.990.000;4.610.000;11.600;38,5;43,2
12 02 2023 11:25:00;4.560.000;3.000.000;3.870.000;11.430;296;7.020.000;4.530.000;11.550;38,4;43,2
12 02 2023 11:26:00;4.520.000;2.870.000;3.770.000;11.160;317;7.020.000;4.660.000;11.680;38,6;43,1
12 02 2023 11:27:00;4.590.000;2.980.000;3.920.000;11.490;293;6.990.000;4.720.000;11.710;38,6;42,8
12 02 2023 11:28:00;4.550.000;2.970.000;3.900.000;11.420;266;6.910.000;4.640.000;11.550;38,3;42,7
12 02 2023 11:29:00;4.550.000;2.970.000;3.850.000;11.370;271;7.050.000;4.620.000;11.670;38,6;42,8
12 02 2023 11:30:00;4.540.000;2.910.000;3.890.000;11.340;266;7.040.000;4.750.000;11.790;38,2;43,2
12 02 2023 11:31:00;4.550.000;2.950.000;3.750.000;11.250;226;7.020.000;4.690.000;11.710;38,7;43,3
12 02 2023 11:32:00;4.590.000;2.970.000;3.870.000;11.430;259;6.970.000;4.630.000;11.600;38,9;43,3
12 02 2023 11:33:00;4.480.000;2.940.000;3.840.000;11.260;290;7.050.000;4.630.000;11.680;38,6;43,3
12 02 2023 11:34:00;4.650.000;2.950.000;3.840.000;11.440;305;7.070.000;4.710.000;11.780;39,1;43,3
12 02 2023 11:35:00;4.600.000;2.910.000;3.820.000;11.330;290;7.080.000;4.680.000;11.760;38,4;43,4
12 02 2023 11:36:00;4.590.000;2.980.000;3.830.000;11.400;261;7.130.000;4.630.000;11.760;38,6;43,4
12 02 2023 11:37:00;4.530.000;2.870.000;3.830.000;11.230;253;7.040.000;4.730.000;11.770;38,9;43,6
12 02 2023 11:38:00;4.520.000;2.840.000;3.840.000;11.200;235;7.040.000;4.680.000;11.720;38,8;43,7
12 02 2023 11:39:00;4.600.000;2.890.000;3.830.000;11.320;258;7.000.000;4.680.000;11.680;40,0;43,8
12 02 2023 11:40:00;4.560.000;2.930.000;3.810.000;11.300;277;7.040.000;4.540.000;11.580;39,6;43,9
12 02 2023 11:41:00;4.560.000;2.800.000;3.800.000;11.160;329;7.050.000;4.630.000;11.680;38,9;43,8
12 02 2023 11:42:00;4.630.000;2.870.000;3.760.000;11.260;277;7.080.000;4.560.000;11.640;39,5;43,9
12 02 2023 11:43:00;4.530.000;2.900.000;3.820.000;11.250;244;7.030.000;4.650.000;11.680;39,7;44,2
12 02 2023 11:44:00;4.610.000;2.960.000;3.770.000;11.340;239;6.940.000;4.600.000;11.540;39,8;44,5
12 02 2023 11:45:00;4.600.000;2.970.000;3.850.000;11.420;233;7.070.000;4.700.000;11.770;40,2;44,8
12 02 2023 11:46:00;4.590.000;2.850.000;3.830.000;11.270;243;7.030.000;4.720.000;11.750;40,5;44,9
12 02 2023 11:47:00;4.610.000;2.970.000;3.840.000;11.420;247;7.050.000;4.680.000;11.730;40,1;44,9
12 02 2023 11:48:00;4.590.000;2.980.000;3.900.000;11.470;319;6.970.000;4.620.000;11.590;40,5;44,9
12 02 2023 11:49:00;4.640.000;2.940.000;3.720.000;11.300;334;6.980.000;4.630.000;11.610;40,5;45,0
12 02 2023 11:50:00;4.570.000;2.850.000;3.880.000;11.300;302;7.000.000;4.650.000;11.650;40,6;44,9
12 02 2023 11:51:00;4.630.000;2.950.000;3.750.000;11.330;295;7.080.000;4.680.000;11.760;40,1;44,7
12 02 2023 11:52:00;4.530.000;2.910.000;3.870.000;11.310;367;7.010.000;4.700.000;11.710;39,9;44,6
12 02 2023 11:53:00;4.630.000;2.850.000;3.820.000;11.300;306;7.010.000;4.700.000;11.710;40,1;44,5
12 02 2023 11:54:00;4.600.000;2.990.000;3.850.000;11.440;314;7.170.000;4.620.000;11.790;39,8;44,4
12 02 2023 11:55:00;4.540.000;2.930.000;3.870.000;11.340;359;6.960.000;4.640.000;11.600;39,9;44,3
12 02 2023 11:56:00;4.600.000;2.990.000;3.830.000;11.420;334;6.870.000;4.610.000;11.480;39,9;44,2
12 02 2023 11:57:00;4.560.000;2.890.000;3.780.000;11.230;364;6.990.000;4.650.000;11.640;39,8;44,1
12 02 2023 11:58:00;4.590.000;2.960.000;3.880.000;11.430;326;7.030.000;4.720.000;11.750;39,7;44,1
12 02 2023 11:59:00;4.620.000;2.880.000;3.780.000;11.280;252;7.110.000;4.630.000;11.740;39,3;44,0
12 02 2023 12:00:00;4.590.000;2.880.000;3.810.000;11.280;257;7.080.000;4.570.000;11.650;39,3;44,0
12 02 2023 12:01:00;4.540.000;2.960.000;3.920.000;11.420;252;7.050.000;4.620.000;11.670;39,0;44,0
12 02 2023 12:02:00;4.590.000;2.950.000;3.850.000;11.390;262;7.060.000;4.630.000;11.690;39,4;43,9
12 02 2023 12:03:00;4.550.000;2.960.000;3.840.000;11.350;254;7.060.000;4.500.000;11.560;39,4;44,0
12 02 2023 12:04:00;4.670.000;2.840.000;3.770.000;11.280;270;7.000.000;4.670.000;11.670;39,2;43,9
12 02 2023 12:05:00;4.570.000;2.840.000;3.760.000;11.170;268;7.010.000;4.730.000;11.740;38,8;43,9
12 02 2023 12:06:00;4.550.000;2.770.000;3.780.000;11.100;261;7.150.000;4.680.000;11.830;38,8;43,9
12 02 2023 12:07:00;4.590.000;2.900.000;3.790.000;11.280;283;7.020.000;4.710.000;11.730;39,5;44,1
12 02 2023 12:08:00;4.570.000;2.870.000;3.890.000;11.330;256;6.940.000;4.590.000;11.530;39,8;44,2
12 02 2023 12:09:00;4.580.000;2.930.000;3.820.000;11.330;262;6.960.000;4.580.000;11.540;39,8;44,3
12 02 2023 12:10:00;4.520.000;2.900.000;3.820.000;11.240;301;6.980.000;4.650.000;11.630;40,0;44,3
12 02 2023 12:11:00;4.600.000;2.990.000;3.920.000;11.510;291;7.000.000;4.590.000;11.590;39,7;44,4
12 02 2023 12:12:00;4.570.000;2.910.000;3.880.000;11.360;305;6.960.000;4.620.000;11.580;39,2;44,3
12 02 2023 12:13:00;4.610.000;2.990.000;3.940.000;11.540;318;7.080.000;4.620.000;11.700;39,3;44,2
12 02 2023 12:14:00;4.600.000;2.900.000;3.880.000;11.380;282;6.930.000;4.770.000;11.700;39,9;44,3
12 02 2023 12:15:00;4.490.000;3.020.000;3.810.000;11.320;308;7.040.000;4.630.000;11.670;40,1;44,5
12 02 2023 12:16:00;4.570.000;2.890.000;3.880.000;11.340;257;6.920.000;4.610.000;11.530;40,0;44,6
12 02 2023 12:17:00;4.590.000;2.830.000;3.840.000;11.260;232;7.110.000;4.640.000;11.750;40,8;44,8
12 02 2023 12:18:00;4.510.000;2.930.000;3.820.000;11.260;231;6.970.000;4.700.000;11.670;40,5;45,1
12 02 2023 12:19:00;4.640.000;2.810.000;3.820.000;11.270;296;7.010.000;4.550.000;11.560;40,9;45,2
12 02 2023 12:20:00;4.600.000;2.970.000;3.870.000;11.440;282;6.970.000;4.630.000;11.600;40,7;45,3
12 02 2023 12:21:00;4.570.000;2.960.000;3.910.000;11.440;259;6.980.000;4.690.000;11.670;41,3;45,4
12 02 2023 12:22:00;4.540.000;2.830.000;3.900.000;11.270;243;7.100.000;4.600.000;11.700;40,9;45,4
12 02 2023 12:23:00;4.590.000;3.060.000;3.880.000;11.530;291;6.980.000;4.620.000;11.600;41,3;45,5
12 02 2023 12:24:00;4.630.000;2.830.000;3.710.000;11.170;316;7.030.000;4.650.000;11.680;41,0;45,5
12 02 2023 12:25:00;4.560.000;2.970.000;3.760.000;11.290;326;7.050.000;4.660.000;11.710;40,6;45,5
12 02 2023 12:26:00;4.560.000;2.990.000;3.740.000;11.290;241;7.010.000;4.630.000;11.640;40,9;45,6
12 02 2023 12:27:00;4.560.000;2.920.000;3.850.000;11.330;296;6.960.000;4.580.000;11.540;41,5;45,6
12 02 2023 12:28:00;4.550.000;2.870.000;3.830.000;11.250;304;7.010.000;4.640.000;11.650;41,2;45,6
12 02 2023 12:29:00;4.640.000;2.920.000;3.820.000;11.380;282;7.080.000;4.630.000;11.710;41,3;45,6
12 02 2023 12:30:00;4.550.000;2.820.000;3.870.000;11.240;250;7.070.000;4.650.000;11.720;41,7;45,6
