TIEMPO;FT748;FT903;FT901;TOTAL ENTRADA;REPOSICION;FT764;FT904;TOTAL RETORNO;TORRE_PILETA;TEMP_RETORNO
12 02 2023 05:51:00;4.570.000;2.940.000;3.840.000;11.350;329;7.130.000;4.580.000;11.710;34,1;38,9
12 02 2023 05:52:00;4.520.000;2.960.000;3.760.000;11.240;273;7.090.000;4.630.000;11.720;34,5;39,3
12 02 2023 05:53:00;4.620.000;2.770.000;3.870.000;11.260;272;7.040.000;4.630.000;11.670;35,2;39,2
12 02 2023 05:54:00;4.580.000;2.990.000;3.790.000;11.360;259;7.050.000;4.530.000;11.580;34,1;38,8
12 02 2023 05:55:00;4.610.000;3.050.000;3.890.000;11.550;238;7.070.000;4.620.000;11.690;34,2;38,5
12 02 2023 05:56:00;4.620.000;3.000.000;3.840.000;11.460;230;7.070.000;4.530.000;11.600;33,5;38,3
12 02 2023 05:57:00;4.550.000;2.960.000;3.780.000;11.290;231;7.090.000;4.610.000;11.700;33,6;38,5
12 02 2023 05:58:00;4.600.000;2.970.000;3.880.000;11.450;247;6.920.000;4.570.000;11.490;34,3;38,7
12 02 2023 05:59:00;4.500.000;2.820.000;3.780.000;11.100;257;7.130.000;4.630.000;11.760;33,8;38,8
12 02 2023 06:00:00;4.520.000;3.000.000;3.920.000;11.440;256;6.990.000;4.640.000;11.630;34,4;38,9
12 02 2023 06:01:00;4.560.000;2.880.000;3.790.000;11.230;233;6.980.000;4.620.000;11.600;34,4;38,9
12 02 2023 06:02:00;4.550.000;3.000.000;3.880.000;11.430;246;7.060.000;4.610.000;11.670;33,9;38,9
12 02 2023 06:03:00;4.590.000;2.940.000;3.930.000;11.460;304;7.010.000;4.670.000;11.680;34,6;39,0
12 02 2023 06:04:00;4.580.000;3.000.000;3.850.000;11.430;292;7.100.000;4.650.000;11.750;34,8;39,1
12 02 2023 06:05:00;4.660.000;2.940.000;3.890.000;11.490;236;7.010.000;4.650.000;11.660;34,9;39,1
12 02 2023 06:06:00;4.560.000;2.900.000;3.870.000;11.330;207;7.040.000;4.630.000;11.670;35,2;39,1
12 02 2023 06:07:00;4.490.000;2.860.000;3.840.000;11.190;248;7.030.000;4.620.000;11.650;35,1;39,1
12 02 2023 06:08:00;4.550.000;3.020.000;3.740.000;11.310;249;7.120.000;4.670.000;11.790;34,8;39,1
12 02 2023 06:09:00;4.610.000;2.920.000;3.870.000;11.400;290;7.050.000;4.540.000;11.590;34,5;39,0
12 02 2023 06:10:00;4.610.000;2.930.000;3.760.000;11.300;241;7.030.000;4.680.000;11.710;34,5;39,0
12 02 2023 06:11:00;4.560.000;2.760.000;3.900.000;11.220;240;7.030.000;4.690.000;11.720;34,0;39,0
12 02 2023 06:12:00;4.690.000;3.000.000;3.800.000;11.490;237;7.110.000;4.570.000;11.680;34,2;39,0
12 02 2023 06:13:00;4.630.000;2.900.000;3.840.000;11.370;245;7.050.000;4.650.000;11.700;33,9;38,9
12 02 2023 06:14:00;4.580.000;3.020.000;3.950.000;11.550;270;7.070.000;4.550.000;11.620;33,8;38,8
12 02 2023 06:15:00;4.630.000;3.020.000;3.870.000;11.520;283;7.060.000;4.530.000;11.590;33,8;38,6
12 02 2023 06:16:00;4.600.000;3.000.000;3.850.000;11.450;321;7.110.000;4.580.000;11.690;33,7;38,5
12 02 2023 06:17:00;4.590.000;2.970.000;3.830.000;11.390;275;7.100.000;4.640.000;11.740;34,4;38,6
12 02 2023 06:18:00;4.580.000;2.970.000;3.830.000;11.380;279;7.180.000;4.690.000;11.870;34,2;38,5
12 02 2023 06:19:00;4.550.000;2.970.000;3.890.000;11.410;247;7.050.000;4.700.000;11.750;34,0;38,5
12 02 2023 06:20:00;4.490.000;2.820.000;3.850.000;11.160;293;7.060.000;4.590.000;11.650;33,8;38,4
12 02 2023 06:21:00;4.530.000;2.940.000;3.860.000;11.330;278;6.990.000;4.680.000;11.670;33,9;38,5
12 02 2023 06:22:00;4.600.000;3.030.000;3.890.000;11.520;282;7.140.000;4.590.000;11.730;33,7;38,5
12 02 2023 06:23:00;4.610.000;2.910.000;3.850.000;11.370;269;6.970.000;4.690.000;11.660;34,0;38,5
12 02 2023 06:24:00;4.630.000;2.940.000;3.840.000;11.410;260;7.080.000;4.780.000;11.860;34,1;38,5
12 02 2023 06:25:00;4.630.000;2.970.000;3.810.000;11.410;240;7.020.000;4.670.000;11.690;34,1;38,4
12 02 2023 06:26:00;4.570.000;2.910.000;3.870.000;11.350;222;7.030.000;4.650.000;11.680;33,8;38,3
12 02 2023 06:27:00;4.590.000;2.930.000;3.880.000;11.400;266;6.940.000;4.510.000;11.450;33,7;38,2
12 02 2023 06:28:00;4.550.000;2.900.000;3.920.000;11.370;250;7.000.000;4.590.000;11.590;33,6;38,1
12 02 2023 06:29:00;4.570.000;2.930.000;3.880.000;11.380;277;7.010.000;4.560.000;11.570;33,5;38,0
12 02 2023 06:30:00;4.620.000;2.910.000;3.860.000;11.390;287;7.040.000;4.590.000;11.630;33,7;37,9
12 02 2023 06:31:00;4.560.000;2.870.000;3.930.000;11.360;265;6.990.000;4.680.000;11.670;33,1;37,8
12 02 2023 06:32:00;4.530.000;2.960.000;3.860.000;11.350;254;7.020.000;4.580.000;11.600;33,6;37,8
12 02 2023 06:33:00;4.540.000;2.960.000;3.730.000;11.230;251;7.020.000;4.630.000;11.650;33,3;37,9
12 02 2023 06:34:00;4.600.000;2.840.000;3.860.000;11.300;194;7.130.000;4.670.000;11.800;33,6;38,2
12 02 2023 06:35:00;4.600.000;3.000.000;3.920.000;11.520;186;7.110.000;4.670.000;11.780;34,1;38,7
12 02 2023 06:36:00;4.590.000;2.980.000;3.920.000;11.490;228;6.920.000;4.580.000;11.500;34,4;39,3
12 02 2023 06:37:00;4.580.000;2.910.000;3.840.000;11.330;275;7.060.000;4.730.000;11.790;35,2;39,7
12 02 2023 06:38:00;4.560.000;2.910.000;3.720.000;11.190;344;7.010.000;4.620.000;11.630;35,6;39,8
12 02 2023 06:39:00;4.650.000;2.780.000;3.820.000;11.250;314;7.010.000;4.690.000;11.700;36,1;39,8
12 02 2023 06:40:00;4.610.000;2.860.000;3.860.000;11.330;260;7.030.000;4.650.000;11.680;35,3;40,0
12 02 2023 06:41:00;4.580.000;2.850.000;3.890.000;11.320;258;7.050.000;4.560.000;11.610;35,7;40,1
12 02 2023 06:42:00;4.630.000;2.950.000;3.820.000;11.400;265;7.070.000;4.570.000;11.640;35,3;40,2
12 02 2023 06:43:00;4.520.000;2.900.000;3.890.000;11.310;283;7.080.000;4.650.000;11.730;36,4;40,3
12 02 2023 06:44:00;4.540.000;3.040.000;3.850.000;11.430;253;6.930.000;4.580.000;11.510;35,7;40,4
12 02 2023 06:45:00;4.510.000;2.960.000;3.900.000;11.370;243;7.020.000;4.580.000;11.600;36,5;40,4
12 02 2023 06:46:00;4.580.000;3.010.000;3.840.000;11.430;290;7.070.000;4.620.000;11.690;35,6;40,4
12 02 2023 06:47:00;4.590.000;3.020.000;3.870.000;11.480;311;7.010.000;4.660.000;11.670;35,7;40,3
12 02 2023 06:48:00;4.610.000;3.000.000;3.830.000;11.440;299;7.090.000;4.640.000;11.730;36,1;40,5
12 02 2023 06:49:00;4.600.000;2.920.000;3.810.000;11.330;259;7.050.000;4.650.000;11.700;36,5;40,5
12 02 2023 06:50:00;4.640.000;2.960.000;3.900.000;11.500;200;7.080.000;4.630.000;11.710;35,8;40,5
12 02 2023 06:51:00;4.620.000;3.010.000;3.840.000;11.470;220;7.090.000;4.620.000;11.710;36,0;40,6
12 02 2023 06:52:00;4.620.000;2.940.000;3.930.000;11.490;253;7.040.000;4.500.000;11.540;36,3;40,9
12 02 2023 06:53:00;4.570.000;2.970.000;3.830.000;11.370;320;7.110.000;4.630.000;11.740;37,2;41,0
12 02 2023 06:54:00;4.610.000;2.850.000;3.870.000;11.330;319;7.110.000;4.610.000;11.720;36,4;40,8
12 02 2023 06:55:00;4.610.000;2.990.000;3.780.000;11.380;270;7.090.000;4.770.000;11.860;35,9;40,7
12 02 2023 06:56:00;4.600.000;2.920.000;3.880.000;11.400;295;7.100.000;4.730.000;11.830;35,9;40,7
12 02 2023 06:57:00;4.560.000;2.860.000;3.900.000;11.320;264;7.020.000;4.680.000;11.700;35,9;40,5
12 02 2023 06:58:00;4.550.000;2.930.000;3.890.000;11.370;244;6.940.000;4.510.000;11.450;35,8;40,3
12 02 2023 06:59:00;4.630.000;3.000.000;3.850.000;11.480;231;7.000.000;4.660.000;11.660;35,2;40,1
12 02 2023 07:00:00;4.570.000;2.920.000;3.870.000;11.360;233;7.050.000;4.700.000;11.750;35,3;40,0
12 02 2023 07:01:00;4.520.000;2.920.000;3.840.000;11.280;263;6.940.000;4.680.000;11.620;35,1;40,0
12 02 2023 07:02:00;4.530.000;2.970.000;3.880.000;11.380;291;7.050.000;4.600.000;11.650;35,3;40,0
